# RTK ground truth trajectory (2D only, Z=0)
# Transformations applied:
#   1. Zero at origin (first measurement at 0,0)
#   2. Timestamps normalized to start at 0
#   3. Z coordinate set to 0 (2D trajectory)
# Original origin: (484992.14, 4418835.23)
# Format: t x y z qx qy qz qw
29.598432779 -0.951703313 1.098103698 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
29.798625946 -1.014469020 1.209042231 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
29.998316526 -1.079570706 1.325147840 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
30.199103355 -1.141944788 1.432743412 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
30.398529530 -1.204880477 1.540038876 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
30.599257708 -1.270168076 1.651374198 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
30.798859358 -1.324599885 1.764204414 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
30.998407125 -1.380060428 1.859281180 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
31.198382854 -1.424801126 1.941088364 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
31.398340940 -1.453021845 1.996094114 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
31.599409580 -1.482125571 2.032794476 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
31.799147129 -1.497513268 2.055291619 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
31.999517918 -1.501583247 2.072476585 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
32.199307203 -1.498026469 2.084958520 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
32.399040461 -1.487077117 2.096871037 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
32.598648787 -1.470554282 2.111524926 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
32.799117327 -1.454890275 2.135551724 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
32.998176336 -1.435760055 2.163669003 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
33.198587656 -1.416382799 2.189887951 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
33.399303675 -1.396051880 2.216480443 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
33.598498106 -1.375872558 2.232510512 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
33.799059153 -1.355911782 2.252269485 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
33.999343157 -1.343160019 2.260686002 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
34.199211597 -1.330441504 2.263523991 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
34.398757935 -1.321489142 2.264855436 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
